"Assembled.Payload.Size","DYNRiskA.Score","Response.Size","Source.Ping.Time","Operating.System","Connection.State","Connection.Rate","Ingress.Router","Server.Response.Packet.Time","Packet.Size","Packet.TTL","Source.IP.Concurrent.Connection","Class"
57683,0.66883544,546432,264,"Windows_All","ESTABLISHED",297.9006894,"mel-aus-01",207,1316,80,26,"NonMal"
65594,0.388544942,536253,235,"Other_OS","ESTABLISHED",796.3904349,"syd-tls-04",122,1306,57,13,"NonMal"
58531,0.78217566,428423,278,"Windows_All","Others",71.36924163,"mel-aus-01",184,1323,62,21,"NonMal"
55129,0.452050333,518214,282,"Windows_All","ESTABLISHED",496.5191691,"mel-aus-01",150,1357,74,14,"NonMal"
63996,0.738418636,561111,296,"Android","ESTABLISHED",360.3901931,"mel-aus-01",169,1332,52,20,"NonMal"
54305,0.591889346,508436,333,"Windows_All","Others",850.0746229,"mel-aus-01",186,1340,51,34,"NonMal"
65244,0.571876486,579207,350,"Android","Others",1097.028467,"syd-tls-04",115,1333,67,28,"NonMal"
57623,0.574199899,379882,247,"Other_OS","ESTABLISHED",80.65143807,"syd-tls-04",154,1294,52,16,"NonMal"
66177,0.462778749,551131,197,"Android","ESTABLISHED",410.4868023,"syd-tls-04",132,1345,50,16,"NonMal"
66656,0.380634578,687165,222,"Android","ESTABLISHED",581.6010492,"mel-aus-01",179,1393,61,19,"NonMal"
55409,0.528825366,549207,163,"Android","ESTABLISHED",358.908019,"syd-tls-04",207,1337,50,18,"NonMal"
74102,0.514634371,424787,240,"Windows_All","ESTABLISHED",699.3396836,"syd-tls-04",140,1306,46,28,"NonMal"
61597,0.426269122,552751,213,"Other_OS","ESTABLISHED",504.580829,"syd-tls-04",231,1372,53,22,"NonMal"
66249,0.669154336,547545,302,"Windows_All","ESTABLISHED",410.4479592,"mel-aus-01",195,1415,51,24,"NonMal"
67531,0.455459424,548940,254,"Windows_All","ESTABLISHED",494.4945952,"mel-aus-01",182,1373,72,19,"NonMal"
64092,0.449001603,478438,338,"Android","ESTABLISHED",475.993698,"mel-aus-01",218,1353,50,22,"NonMal"
46056,0.7447079,513876,313,"Windows_All","ESTABLISHED",608.7656876,"syd-tls-04",212,1374,49,29,"NonMal"
67803,0.496840029,520657,255,"Android","ESTABLISHED",316.7180809,"syd-tls-04",169,1329,58,19,"NonMal"
65405,0.574739449,429769,241,"Android","ESTABLISHED",618.379445,"mel-aus-01",159,1378,71,27,"NonMal"
61405,0.697705836,578446,250,"Windows_All","ESTABLISHED",913.4356539,"mel-aus-01",91,1332,70,25,"NonMal"
56727,0.705709716,517468,201,"Android","ESTABLISHED",500.4685905,"mel-aus-01",194,1344,56,26,"NonMal"
68601,0.459172954,566569,255,"Android","ESTABLISHED",272.5152824,"syd-tls-04",169,1338,56,20,"NonMal"
58138,0.692554761,447835,276,"Windows_All","ESTABLISHED",600.8109093,"mel-aus-01",174,1364,66,25,"NonMal"
62234,0.72903323,544019,313,"Other_OS","ESTABLISHED",566.0679902,"mel-aus-01",134,1329,80,22,"NonMal"
69550,0.582756508,674108,199,"Android","ESTABLISHED",590.0452093,"syd-tls-04",159,1328,72,26,"NonMal"
56108,0.516244117,673368,288,"Android","ESTABLISHED",352.2345684,"mel-aus-01",155,1406,55,15,"NonMal"
51361,0.496935281,446639,175,"Android","ESTABLISHED",344.2742654,"mel-aus-01",180,1332,55,15,"NonMal"
53743,0.540767251,473435,225,"Windows_All","ESTABLISHED",182.1991594,"syd-tls-04",150,1376,59,15,"NonMal"
59044,0.594514254,300456,342,"Android","Others",838.0886075,"syd-tls-04",128,1366,61,30,"NonMal"
65654,0.683595963,524816,223,"Android","ESTABLISHED",1023.218124,"mel-aus-01",118,1302,70,24,"NonMal"
61293,0.700727222,636072,329,"Windows_All","ESTABLISHED",518.5204848,"syd-tls-04",182,1325,63,23,"NonMal"
71174,0.594939217,793964,260,"Windows_All","ESTABLISHED",333.0249184,"syd-tls-04",177,1351,54,23,"NonMal"
57951,0.454940902,585620,265,"Windows_All","ESTABLISHED",386.6531346,"mel-aus-01",128,1389,63,14,"NonMal"
68081,0.438257728,589592,222,"Windows_All","ESTABLISHED",427.99671,"mel-aus-01",211,1340,64,22,"NonMal"
61659,0.390878379,482309,311,"Other_OS","ESTABLISHED",568.9989377,"mel-aus-01",133,1353,70,16,"NonMal"
54901,0.594576935,334743,209,"Windows_All","ESTABLISHED",139.2907174,"syd-tls-04",205,1343,73,19,"NonMal"
64824,0.658520459,532911,296,"Android","ESTABLISHED",432.017855,"syd-tls-04",175,1341,73,24,"NonMal"
55735,0.535305396,537951,249,"Windows_All","ESTABLISHED",136.5748209,"syd-tls-04",169,1333,56,15,"NonMal"
72029,0.412777408,396121,276,"Android","ESTABLISHED",437.8937023,"mel-aus-01",108,1313,57,16,"NonMal"
70782,0.28805189,602145,211,"Windows_All","ESTABLISHED",818.4601287,"mel-aus-01",117,1333,72,14,"NonMal"
63340,0.458328919,767405,267,"Windows_All","ESTABLISHED",442.6602669,"mel-aus-01",221,1325,67,22,"NonMal"
66482,0.602867986,381320,253,"Windows_All","ESTABLISHED",800.3367601,"syd-tls-04",149,1357,58,28,"NonMal"
55598,0.443380093,360033,200,"Android","ESTABLISHED",452.6938374,"mel-aus-01",246,1314,70,20,"NonMal"
62100,0.475126,490862,348,"Windows_All","Others",21.48307511,"mel-aus-01",124,1339,62,15,"NonMal"
72450,0.576725267,438864,223,"Android","ESTABLISHED",878.1082224,"syd-tls-04",126,1328,77,26,"NonMal"
55155,0.644914193,651262,318,"Windows_All","ESTABLISHED",681.5632452,"mel-aus-01",165,1330,67,30,"NonMal"
59492,0.4999382,567919,210,"Windows_All","ESTABLISHED",266.7785596,"mel-aus-01",133,1344,61,14,"NonMal"
52243,0.631844535,479348,231,"Windows_All","ESTABLISHED",614.822273,"syd-tls-04",131,1301,64,30,"NonMal"
63411,0.426219658,521868,258,"Android","ESTABLISHED",498.9406613,"mel-aus-01",161,1314,51,18,"NonMal"
67891,0.591431238,510431,304,"Android","ESTABLISHED",824.4173242,"syd-tls-04",147,1350,64,27,"NonMal"
65872,0.407042494,387455,326,"Android","ESTABLISHED",575.3226781,"mel-aus-01",172,1328,59,18,"NonMal"
66895,0.642259645,508790,210,"Windows_All","ESTABLISHED",492.9755458,"mel-aus-01",177,1337,61,26,"NonMal"
74707,0.526548412,583175,231,"Other_OS","Others",659.4388822,"mel-aus-01",187,1372,62,26,"NonMal"
55165,0.674669929,419329,250,"Windows_All","ESTABLISHED",826.6224748,"mel-aus-01",166,1355,81,30,"NonMal"
56019,0.5111705,428977,232,"Other_OS","ESTABLISHED",387.8334713,"mel-aus-01",158,1310,63,16,"NonMal"
60864,0.491079408,492173,219,"Windows_All","ESTABLISHED",472.8362457,"syd-tls-04",144,1351,36,15,"NonMal"
60454,0.659533184,339547,236,"Android","ESTABLISHED",341.1422117,"mel-aus-01",196,1400,61,26,"NonMal"
62719,0.40833167,531191,171,"Android","ESTABLISHED",676.8729397,"mel-aus-01",188,1379,74,19,"NonMal"
72465,0.41019898,586941,309,"Other_OS","ESTABLISHED",500.8527855,"syd-tls-04",152,1379,79,20,"NonMal"
62369,0.605455257,443466,274,"Android","ESTABLISHED",555.2739484,"mel-aus-01",194,1342,62,29,"NonMal"
60859,0.49382301,388215,282,"Windows_All","ESTABLISHED",222.9663929,"syd-tls-04",134,1375,71,16,"NonMal"
49040,0.716903336,540118,280,"Android","ESTABLISHED",690.3942186,"mel-aus-01",134,1368,80,28,"NonMal"
60313,0.563587295,454546,243,"Windows_All","ESTABLISHED",323.0557076,"mel-aus-01",110,1417,54,13,"NonMal"
59223,0.70050549,492700,341,"Windows_All","ESTABLISHED",611.6701287,"mel-aus-01",122,1335,70,24,"NonMal"
69481,0.683540642,352205,256,"Windows_All","ESTABLISHED",715.3331343,"syd-tls-04",140,1349,81,22,"NonMal"
60734,0.390440613,448944,252,"Windows_All","ESTABLISHED",754.612994,"mel-aus-01",151,1366,68,15,"NonMal"
55775,0.624515319,458447,237,"Android","Others",789.3507374,"mel-aus-01",214,1362,71,32,"NonMal"
61430,0.48908602,517148,224,"Android","ESTABLISHED",395.3605251,"syd-tls-04",181,1345,74,18,"NonMal"
69345,0.424420388,523619,264,"Windows_All","ESTABLISHED",569.0961694,"mel-aus-01",92,1388,66,13,"NonMal"
62751,0.627622947,529719,306,"Android","ESTABLISHED",812.3472741,"mel-aus-01",151,1426,65,27,"NonMal"
55064,0.844828401,516956,346,"Windows_All","Others",371.653533,"mel-aus-01",165,1346,72,20,"NonMal"
57848,0.745431206,447917,295,"Windows_All","ESTABLISHED",784.5997586,"mel-aus-01",169,1365,63,25,"NonMal"
60027,0.415292624,514396,355,"Windows_All","ESTABLISHED",621.9507411,"syd-tls-04",143,1339,59,15,"NonMal"
62706,0.410265875,357412,250,"Windows_All","ESTABLISHED",521.0510854,"syd-tls-04",163,1362,77,19,"NonMal"
57131,0.405692806,459105,238,"Android","ESTABLISHED",444.6876621,"mel-aus-01",118,1340,62,13,"NonMal"
55623,0.538929109,591537,341,"Android","ESTABLISHED",300.1218183,"mel-aus-01",178,1294,59,15,"NonMal"
54311,0.488924343,544807,294,"Windows_All","Others",101.7666876,"syd-tls-04",142,1386,59,15,"NonMal"
64122,0.424891944,445976,180,"Android","ESTABLISHED",402.0946052,"syd-tls-04",165,1339,65,16,"NonMal"
69818,0.620750427,403299,336,"Windows_All","ESTABLISHED",856.2164185,"syd-tls-04",151,1324,65,25,"NonMal"
62696,0.644983385,566214,332,"Android","ESTABLISHED",608.4378524,"mel-aus-01",173,1331,74,25,"NonMal"
60852,0.711964573,609859,246,"Windows_All","ESTABLISHED",626.3667279,"syd-tls-04",190,1373,58,25,"NonMal"
66297,0.632219151,413414,282,"Android","ESTABLISHED",204.8208892,"mel-aus-01",227,1319,79,25,"NonMal"
57498,0.629390875,505207,277,"Windows_All","ESTABLISHED",710.124105,"mel-aus-01",158,1332,62,29,"NonMal"
61044,0.7133679,583768,272,"Android","ESTABLISHED",1032.577232,"mel-aus-01",115,1349,61,25,"NonMal"
66025,0.513156375,521995,206,"Windows_All","ESTABLISHED",281.0820708,"mel-aus-01",135,1336,66,17,"NonMal"
58606,0.696048772,507220,273,"Windows_All","ESTABLISHED",608.1971295,"syd-tls-04",214,1395,67,26,"NonMal"
82036,0.534745355,517779,227,"Windows_All","ESTABLISHED",707.4238263,"mel-aus-01",174,1361,57,25,"NonMal"
59404,0.627567343,510629,292,"Android","ESTABLISHED",770.3811196,"mel-aus-01",181,1368,59,30,"NonMal"
63502,0.642842073,498240,261,"Windows_All","ESTABLISHED",679.01754,"mel-aus-01",146,1309,51,27,"NonMal"
62433,0.432804918,468709,260,"Android","ESTABLISHED",683.1365653,"syd-tls-04",196,1315,66,18,"NonMal"
59337,0.705415163,509844,277,"Other_OS","ESTABLISHED",538.631665,"mel-aus-01",240,1414,59,26,"NonMal"
59135,0.74242846,558343,198,"Android","ESTABLISHED",576.7033845,"mel-aus-01",200,1308,53,24,"NonMal"
69540,0.496470599,482118,268,"Windows_All","ESTABLISHED",174.6445235,"syd-tls-04",199,1397,69,21,"NonMal"
61663,0.410753965,586061,177,"Android","ESTABLISHED",603.5849197,"mel-aus-01",169,1330,55,15,"NonMal"
61299,0.714012729,457498,293,"Android","ESTABLISHED",539.241517,"mel-aus-01",143,1351,45,21,"NonMal"
57912,0.546635126,655321,273,"Windows_All","ESTABLISHED",97.80146805,"mel-aus-01",175,1363,80,18,"NonMal"
63197,0.637557492,384136,288,"Windows_All","Others",890.4642619,"mel-aus-01",219,1358,82,29,"NonMal"
62956,0.524338888,489022,348,"Windows_All","ESTABLISHED",226.8915634,"mel-aus-01",222,1343,52,22,"NonMal"
67064,0.533852694,454765,232,"Android","Others",798.9037293,"syd-tls-04",184,1323,54,31,"NonMal"
63712,0.476071552,506057,251,"Android","ESTABLISHED",142.9657814,"mel-aus-01",169,1396,45,19,"NonMal"
58296,0.69362529,516388,260,"Windows_All","ESTABLISHED",875.2417263,"mel-aus-01",128,1325,48,27,"NonMal"
65221,0.546239981,668781,351,"Android","ESTABLISHED",304.3354272,"syd-tls-04",165,1373,56,19,"NonMal"
56970,0.506807232,452157,314,"Android","ESTABLISHED",321.5281618,"syd-tls-04",103,1331,79,12,"NonMal"
65654,0.619795573,496915,268,"Android","ESTABLISHED",933.5642257,"mel-aus-01",132,1340,59,27,"NonMal"
70397,0.676768968,580382,236,"Windows_All","ESTABLISHED",583.8731539,"mel-aus-01",119,1340,61,21,"NonMal"
65288,0.466699093,683371,227,"Windows_All","ESTABLISHED",54.83276179,"syd-tls-04",203,1327,76,20,"NonMal"
58108,0.59842774,422301,204,"Windows_All","ESTABLISHED",384.7302861,"mel-aus-01",255,1365,51,31,"NonMal"
78491,0.60474014,445467,264,"Android","ESTABLISHED",617.9144177,"mel-aus-01",136,1294,56,21,"NonMal"
66677,0.268297772,349714,271,"Android","ESTABLISHED",1150.507445,"mel-aus-01",149,1344,63,16,"NonMal"
72548,0.48515267,461316,227,"Windows_All","ESTABLISHED",388.487708,"syd-tls-04",185,1329,57,21,"NonMal"
68358,0.391501669,542116,297,"Windows_All","ESTABLISHED",768.5318541,"mel-aus-01",131,1365,70,15,"NonMal"
60810,0.724021843,397634,321,"Android","ESTABLISHED",340.3290997,"mel-aus-01",175,1310,57,22,"NonMal"
64014,0.609636014,759921,181,"Windows_All","ESTABLISHED",805.9470265,"mel-aus-01",165,1392,63,29,"NonMal"
70197,0.665426221,357255,223,"Android","ESTABLISHED",556.7329927,"syd-tls-04",137,1337,58,21,"NonMal"
52127,0.663741656,438930,182,"Android","Others",794.3969382,"syd-tls-04",186,1336,53,31,"NonMal"
61723,0.467353527,605145,313,"Windows_All","ESTABLISHED",588.7408143,"mel-aus-01",181,1275,64,18,"NonMal"
60035,0.725650937,559273,191,"Android","ESTABLISHED",574.60929,"mel-aus-01",151,1334,72,25,"NonMal"
69127,0.600832904,549841,218,"Android","Others",892.5867667,"syd-tls-04",176,1352,57,28,"NonMal"
62299,0.564197535,609980,323,"Other_OS","ESTABLISHED",56.01820051,"mel-aus-01",178,1356,84,22,"NonMal"
58762,0.83509249,649039,293,"Android","ESTABLISHED",747.4578078,"mel-aus-01",165,1402,55,22,"NonMal"
66326,0.653359412,430538,317,"Windows_All","ESTABLISHED",307.42968,"syd-tls-04",163,1356,77,24,"NonMal"
76184,0.664445919,606989,283,"Windows_All","ESTABLISHED",588.7616657,"mel-aus-01",120,1353,71,20,"NonMal"
55493,0.514726541,507535,294,"Windows_All","ESTABLISHED",162.1993242,"syd-tls-04",162,1338,66,15,"NonMal"
63346,0.713487834,515567,308,"Other_OS","ESTABLISHED",606.8236598,"syd-tls-04",123,1339,69,22,"NonMal"
62233,0.535523453,519591,280,"Windows_All","ESTABLISHED",79.04601672,"syd-tls-04",179,1356,64,19,"NonMal"
73901,0.523086044,436974,271,"Android","ESTABLISHED",715.3067388,"syd-tls-04",114,1353,61,27,"NonMal"
60908,0.428409582,306340,333,"Windows_All","ESTABLISHED",601.9729958,"mel-aus-01",85,1367,77,10,"NonMal"
68060,0.393609645,560837,179,"Other_OS","ESTABLISHED",517.8176249,"syd-tls-04",124,1356,67,16,"NonMal"
60556,0.480109975,517537,299,"Android","ESTABLISHED",359.1144094,"mel-aus-01",135,1395,61,16,"NonMal"
68673,0.393515787,515653,215,"Windows_All","ESTABLISHED",469.4668591,"mel-aus-01",196,1387,61,20,"NonMal"
62329,0.401790785,513096,218,"Android","ESTABLISHED",720.7935443,"mel-aus-01",160,1338,57,15,"NonMal"
58584,0.369019334,467720,276,"Android","ESTABLISHED",750.196013,"mel-aus-01",182,1329,55,17,"NonMal"
61032,0.433919829,493845,286,"Android","ESTABLISHED",410.3119498,"mel-aus-01",171,1359,58,19,"NonMal"
62765,0.431974608,656458,266,"Android","ESTABLISHED",412.5478526,"syd-tls-04",160,1343,81,18,"NonMal"
56406,0.729646232,581692,195,"Other_OS","ESTABLISHED",991.2871809,"mel-aus-01",135,1337,71,26,"NonMal"
64467,0.457922535,584769,164,"Windows_All","ESTABLISHED",259.106025,"syd-tls-04",124,1359,65,15,"NonMal"
57617,0.683468911,277799,398,"Windows_All","ESTABLISHED",663.4260757,"mel-aus-01",239,1367,62,27,"NonMal"
70288,0.419270109,705594,279,"Windows_All","ESTABLISHED",397.4301611,"syd-tls-04",184,1323,72,21,"NonMal"
58903,0.39739075,646670,339,"Android","ESTABLISHED",702.810452,"syd-tls-04",148,1360,57,14,"NonMal"
57688,0.451391591,282208,375,"Windows_All","Others",253.9351862,"mel-aus-01",191,1327,73,17,"NonMal"
53339,0.645846873,377862,313,"Android","ESTABLISHED",226.7720715,"mel-aus-01",221,1349,73,20,"NonMal"
50383,0.778180996,409720,154,"Windows_All","ESTABLISHED",420.8573721,"mel-aus-01",198,1371,66,26,"NonMal"
44545,0.824789567,467959,216,"Android","ESTABLISHED",318.9689319,"mel-aus-01",172,1347,56,27,"NonMal"
63324,0.630918831,85064,287,"Windows_All","ESTABLISHED",863.319923,"mel-aus-01",152,1320,65,28,"NonMal"
68978,0.463090216,491176,197,"Android","ESTABLISHED",166.1494952,"syd-tls-04",222,1352,85,25,"NonMal"
69564,0.433947136,543303,274,"Android","ESTABLISHED",343.1508969,"mel-aus-01",168,1336,68,21,"NonMal"
56045,0.476064968,428702,202,"Android","ESTABLISHED",482.605205,"mel-aus-01",135,1329,59,13,"NonMal"
66635,0.355800226,510343,247,"Windows_All","ESTABLISHED",648.7228763,"syd-tls-04",140,1358,66,16,"NonMal"
62916,0.600521501,293833,202,"Other_OS","ESTABLISHED",49.90278035,"mel-aus-01",184,1354,54,20,"NonMal"
60608,0.45958576,353845,240,"Android","ESTABLISHED",150.5991147,"mel-aus-01",205,1394,70,21,"NonMal"
71743,0.548047436,667789,280,"Android","Others",217.6273998,"mel-aus-01",150,1382,75,21,"NonMal"
63558,0.440498083,473515,252,"Android","ESTABLISHED",350.3396532,"syd-tls-04",170,1351,46,17,"NonMal"
61963,0.326909227,412891,411,"Windows_All","ESTABLISHED",918.4559869,"mel-aus-01",196,1360,69,18,"NonMal"
72580,0.320844065,559877,209,"Windows_All","ESTABLISHED",876.4719603,"mel-aus-01",120,1308,54,17,"NonMal"
